252
187.237.14.200	10295	9747
159.178.108.111	9832	9848
104.154.198.228	9676	9835
52.84.76.175	9447	9450
70.187.95.95	9406	9510
159.178.237.53	9376	9681
63.251.240.12	9365	7380
73.224.42.241	9254	8910
103.26.37.253	9144	9324
104.17.183.118	9086	9956
165.215.209.15	8986	8982
88.231.33.95	8942	8968
159.178.107.44	8698	8698
159.178.102.100	8673	8733
54.230.161.109	8654	8673
216.52.195.182	8574	8584
104.92.17.82	8536	8390
23.202.88.31	8459	8462
96.7.182.150	8358	8364
149.169.208.76	8293	8030
157.55.39.140	8058	8058
52.85.90.169	7979	1312
104.16.89.188	7840	7867
69.252.101.144	7730	7763
66.249.64.14	7722	7701
120.239.64.18	7696	7122
91.198.117.247	7615	7394
159.178.137.117	7599	7581
34.206.148.175	7485	7485
174.70.89.126	7375	7291
98.18.16.218	7341	6944
68.64.22.136	7264	7262
159.178.112.71	7261	7315
192.210.199.106	7204	7374
159.178.129.112	6947	7011
159.178.96.156	6910	4992
23.15.61.170	6898	5396
128.227.112.222	6821	7904
73.224.76.160	6805	6946
95.101.36.67	6788	6666
8.27.160.227	6785	7272
159.178.129.91	6773	6783
156.154.65.196	6739	7597
80.31.50.27	6666	2
159.178.108.48	6665	6501
71.6.146.185	6659	6808
112.198.103.2	6634	6652
159.178.100.84	6537	5867
159.178.133.40	6537	802
209.112.113.33	6509	6487
159.178.115.102	6469	7063
54.192.205.183	6465	6537
171.161.207.200	6255	6136
172.217.8.80	6225	7187
63.150.163.52	6195	3906
159.178.119.40	6164	6164
98.18.150.191	6155	6714
178.33.214.223	6124	5946
35.190.151.98	6086	5524
159.178.100.33	6012	5996
198.245.89.70	5992	6296
104.92.16.146	5959	5571
168.195.1.23	5954	2
159.178.100.82	5953	6058
207.46.13.156	5924	5892
159.178.32.133	5892	5890
128.227.220.36	5883	5525
66.231.139.112	5770	5862
186.15.25.14	5757	14
198.102.61.236	5757	5752
66.87.114.206	5757	5722
69.172.201.238	5730	5690
204.74.115.1	5715	5681
117.136.177.120	5715	111
67.195.93.153	5661	139
159.178.100.162	5559	6392
83.143.187.129	5543	2
99.166.162.58	5516	5530
199.204.59.137	5463	5472
54.192.205.60	5461	5543
167.68.20.174	5455	5423
212.227.17.4	5424	5356
149.111.148.27	5419	5421
159.178.108.184	5370	5038
40.76.218.33	5335	5386
72.47.228.169	5319	4702
24.189.61.53	5250	4662
184.50.26.236	5250	5254
216.58.219.67	5248	5122
107.77.218.214	5238	5254
159.178.109.180	5199	5744
216.200.96.194	5185	5168
24.236.111.9	5176	5216
59.45.175.56	5146	5172
209.73.179.8	5108	5108
96.7.49.194	5060	5139
128.227.236.254	5059	5102
208.80.125.4	4968	4966
128.227.71.18	4934	4926
104.17.8.41	4930	4932
